US_Metro_Area_Code,US_Metro_Area_Name,Year,Percent_College_Graduates,Percent_White,Population,Region
40,"Abilene, TX",1970,0.12080913,0.943323135,97853,3
40,"Abilene, TX",1980,0.174172625,0.86107707,110923,3
40,"Abilene, TX",1990,0.207336888,0.839806139,119655,3
40,"Abilene, TX",2000,0.224528447,0.819880664,126555,3
80,"Akron, OH (P)",1970,0.107510865,0.917108595,679238,2
80,"Akron, OH (P)",1980,0.15401803,0.900391936,660265,2
80,"Akron, OH (P)",1990,0.192697182,0.888411045,657574,2
80,"Akron, OH (P)",2000,0.242764682,0.863769114,694960,2
120,"Albany, GA",1970,0.09523347,0.653885603,89638,3
120,"Albany, GA",1980,0.136968449,0.585101545,112375,3
120,"Albany, GA",1990,0.165146202,0.533248663,112561,3
120,"Albany, GA",2000,0.176526144,0.472728491,120822,3
160,"Albany-Schenectady-Troy, NY",1970,0.125497147,0.964248776,718325,1
160,"Albany-Schenectady-Troy, NY",1980,0.182909548,0.951923072,794888,1
160,"Albany-Schenectady-Troy, NY",1990,0.23388876,0.931920767,874305,1
160,"Albany-Schenectady-Troy, NY",2000,0.279447317,0.897546053,892196,1
200,"Albuquerque, NM",1970,0.169013903,0.957158566,315769,4
200,"Albuquerque, NM",1980,0.228025094,0.816309273,419652,4
200,"Albuquerque, NM",1990,0.266829729,0.771042347,480577,4
200,"Albuquerque, NM",2000,0.305107623,0.738232851,556678,4
220,"Alexandria, LA",1970,,,0,3
220,"Alexandria, LA",1980,0.1193754,0.720628023,135261,3
220,"Alexandria, LA",1990,0.145798162,0.706748426,131556,3
220,"Alexandria, LA",2000,0.165453389,0.668204904,126337,3
240,"Allentown-Bethlehem-Easton, PA",1970,0.082062528,0.986076713,543477,1
240,"Allentown-Bethlehem-Easton, PA",1980,0.12727429,0.97265929,635328,1
240,"Allentown-Bethlehem-Easton, PA",1990,0.176521957,0.946397185,686608,1
240,"Allentown-Bethlehem-Easton, PA",2000,0.216787413,0.911744416,740395,1
280,"Altoona, PA",1970,0.051643193,0.991612434,128285,1
280,"Altoona, PA",1980,0.081108645,0.989357471,136622,1
280,"Altoona, PA",1990,0.104742721,0.986893117,130543,1
280,"Altoona, PA",2000,0.138831675,0.97792387,129144,1
320,"Amarillo, TX",1970,0.123440214,0.949543595,144382,3
320,"Amarillo, TX",1980,0.16298385,0.898897886,171656,3
320,"Amarillo, TX",1990,0.187062666,0.846705079,187547,3
320,"Amarillo, TX",2000,0.209958911,0.804276168,217858,3
440,"Ann Arbor, MI (P)",1970,0.273972094,0.913890779,234098,2
440,"Ann Arbor, MI (P)",1980,0.360594213,0.862129807,264650,2
440,"Ann Arbor, MI (P)",1990,0.41870895,0.83802402,282938,2
440,"Ann Arbor, MI (P)",2000,0.481353909,0.784942448,322895,2
450,"Anniston, AL",1970,,,0,3
450,"Anniston, AL",1980,0.110398553,0.813129365,119749,3
450,"Anniston, AL",1990,0.141707495,0.800629139,116034,3
450,"Anniston, AL",2000,0.152198881,0.797289968,112249,3
460,"Appleton-Oshkosh-Neenah, WI",1970,0.094987422,0.992939472,276891,2
460,"Appleton-Oshkosh-Neenah, WI",1980,0.139793649,0.985327899,291203,2
460,"Appleton-Oshkosh-Neenah, WI",1990,0.169561878,0.974200368,315121,2
460,"Appleton-Oshkosh-Neenah, WI",2000,0.224338546,0.952378154,358365,2
480,"Asheville, NC",1970,0.099657856,0.878492296,144962,3
480,"Asheville, NC",1980,0.145878926,0.90791136,160647,3
480,"Asheville, NC",1990,0.191090196,0.909512103,174609,3
480,"Asheville, NC",2000,0.252608776,0.895628393,206330,3
500,"Athens, GA",1970,0.278032273,0.79802984,65173,3
500,"Athens, GA",1980,0.349959493,0.749456346,74487,3
500,"Athens, GA",1990,0.260218322,0.795535862,156266,3
500,"Athens, GA",2000,0.287304223,0.768198192,195033,3
520,"Atlanta, GA",1970,0.138395548,0.776872277,1460670,3
520,"Atlanta, GA",1980,0.207484901,0.743924975,2029368,3
520,"Atlanta, GA",1990,0.267767906,0.713455796,2833514,3
520,"Atlanta, GA",2000,0.327061146,0.626787841,3945450,3
560,"Atlantic-Cape May, NJ (P)",1970,0.061617445,0.821823835,175029,1
560,"Atlantic-Cape May, NJ (P)",1980,0.126328409,0.835893929,276212,1
560,"Atlantic-Cape May, NJ (P)",1990,0.166727707,0.815009236,319416,1
560,"Atlantic-Cape May, NJ (P)",2000,0.196985379,0.758364856,354878,1
